Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,23034,1955,null,null,2.3,46.2,93.7,136.1,33.2,76.4,49.5,45.1,53.3,18,null
IDCJAC0001,23034,1956,23.9,6.6,43.2,72.9,88.5,115.6,65.8,44.5,55.2,40.2,15.8,17.6,589.8
IDCJAC0001,23034,1957,0.3,0.8,21.1,21.6,40.1,63.4,83.1,32.4,34.5,41.1,33.7,7.8,379.9
IDCJAC0001,23034,1958,3.9,2.3,22.1,13.5,89.3,8.2,79.2,51.2,70.4,61.3,10.3,6.6,418.3
IDCJAC0001,23034,1959,4.4,19.4,23.9,7.1,4.4,11.5,34.1,41.8,28,20.9,21.5,34.6,251.6
IDCJAC0001,23034,1960,9.1,45.2,22.6,53.9,115.9,42.7,33.4,30.9,96.4,20.8,65.4,2.4,538.7
IDCJAC0001,23034,1961,4.8,11,6.2,110,26.3,39.6,40.8,40.1,24,8.3,10.1,7.3,328.5
IDCJAC0001,23034,1962,8.7,15.8,23.4,2.1,76.2,40.7,32.3,51.9,13.1,65.4,12.9,43,385.5
IDCJAC0001,23034,1963,62.3,3.3,1.8,45.7,125.4,88.6,92.8,47.5,25,69.4,8.6,2.9,573.3
IDCJAC0001,23034,1964,8.4,7.7,2.5,34.8,50.3,35.1,101.5,31.2,62.3,48.7,94.9,17.5,494.9
IDCJAC0001,23034,1965,7.9,0.3,10.2,25.4,64.6,26.3,56.6,44.4,30.7,3.1,20.3,36.4,326.2
IDCJAC0001,23034,1966,6.5,23.6,20.1,5,52.6,73.8,88.7,33.1,56.4,28.2,19.3,62.9,470.2
IDCJAC0001,23034,1967,16.4,35.4,2.7,8.6,27.2,7.2,48.5,55.1,19.1,15.1,1.1,8.8,245.2
IDCJAC0001,23034,1968,32.7,36.3,42.4,40.8,90.8,53.8,53.3,62.4,17.1,54.9,44,42.2,570.7
IDCJAC0001,23034,1969,6.9,103.2,15.9,27.5,85.8,34.1,61.3,42.9,43.4,0.8,17.9,33.1,472.8
IDCJAC0001,23034,1970,22.4,0.5,7,58.9,58.6,51.6,48.5,66.8,32.1,6.5,30.1,36.4,419.4
IDCJAC0001,23034,1971,4.8,0.3,35.9,158.8,81.7,49.1,49.7,65.7,52.8,25,48,25.9,597.7
IDCJAC0001,23034,1972,51.3,33.5,0,32.9,10.9,25.2,60.4,55.6,35.9,19.9,12.7,26.4,364.7
IDCJAC0001,23034,1973,24,55,33.3,62.3,66.9,80.8,82.6,45.7,55.4,64.3,24.9,30.7,625.9
IDCJAC0001,23034,1974,57,76.2,2.2,64.3,62.2,31,90,38.6,57.4,90.4,3.6,13.4,586.3
IDCJAC0001,23034,1975,23.2,3.4,73.7,15.6,84.8,18.7,91.6,36.2,55.9,61,18.8,5.2,488.1
IDCJAC0001,23034,1976,11.2,80.2,0.8,18.9,21.2,41,20,39.4,16.8,49,17,22.2,337.7
IDCJAC0001,23034,1977,39.4,11.4,32.8,14,31.2,40.4,22,21.6,38,42.8,25.6,12.8,332
IDCJAC0001,23034,1978,1.8,4.4,7,36.8,47.4,84.8,98.2,59.6,79.2,20.8,43.8,16.4,500.2
IDCJAC0001,23034,1979,29.4,11.8,11.4,37.6,53.6,16,46.4,89.6,100.6,44.4,37.4,33.8,512
IDCJAC0001,23034,1980,2.6,0.4,1.8,48.2,37.2,77.4,63.8,17.2,18,89.4,29.2,29.4,414.6
IDCJAC0001,23034,1981,20.2,3.2,42.2,1.6,46.8,137.8,95.8,82,29,33.6,30.4,14.6,537.2
IDCJAC0001,23034,1982,22.6,5.8,46.8,56.4,38.6,41.6,18.2,17.2,20,10,1,8,286.2
IDCJAC0001,23034,1983,11.6,2,112.2,80.4,45.4,26.8,89.4,77.6,61.2,48.8,8.2,12.6,576.2
IDCJAC0001,23034,1984,17.8,2,23.6,20.4,39.6,31,67.2,79.8,46.4,22,34.6,5.4,389.8
IDCJAC0001,23034,1985,1.2,2,39.4,28.4,58.4,37,34.4,62.8,37.4,37.8,9.6,30.4,378.8
IDCJAC0001,23034,1986,11.2,0.6,0.2,42.6,44.2,35.2,116.4,85.2,51.2,50.8,15,28,480.6
IDCJAC0001,23034,1987,19.6,40.8,25,16.2,110,68.6,112.2,23.2,15,42,2.8,35,510.4
IDCJAC0001,23034,1988,24.6,12,23.8,12,68.4,81.6,55.6,33,46,10.8,26.2,47.6,441.6
IDCJAC0001,23034,1989,2.4,1.8,1.8,30.4,87.2,65,69.8,49,36.2,29.4,21.2,9.2,403.4
IDCJAC0001,23034,1990,10.4,8.2,1.2,7.8,8.8,69.8,89.8,66.4,38.4,28.4,5.6,40.4,375.2
IDCJAC0001,23034,1991,23,0,4.4,28,13,95.6,68.2,59.4,69,6.8,24.6,5.6,397.6
IDCJAC0001,23034,1992,0.6,12.2,63,38.8,67.6,57.2,42.8,103.8,113.6,74.8,66,90.4,730.8
IDCJAC0001,23034,1993,31.2,14.8,18.4,0.8,40.2,35.2,54.2,43.8,60.4,77.2,23.6,89.8,489.6
IDCJAC0001,23034,1994,28.6,18.4,0,8.4,32.8,73.2,42.6,14.6,21.4,49.8,27,9.8,326.6
IDCJAC0001,23034,1995,15,25.2,15,57.2,61.2,47,103.2,26.6,36.4,19,6.8,7.8,420.4
IDCJAC0001,23034,1996,41,19.6,18.8,24.6,11.4,91.8,82.6,87.2,65.8,19,1.8,14.2,477.8
IDCJAC0001,23034,1997,46.4,25.6,4.2,5.2,55,30.2,18.4,79,72.6,69.4,44.4,18.2,468.6
IDCJAC0001,23034,1998,7,20.4,8.8,95.2,26.2,74.4,44.8,44.6,49.4,43.8,24.4,11.6,450.6
IDCJAC0001,23034,1999,17.2,2,53.6,8.4,61,70,51.2,20.4,57.4,57,35.2,32.8,466.2
IDCJAC0001,23034,2000,3,57,26.6,52.4,54.8,74.8,45.8,50.6,59,66.6,11.6,11.8,514
IDCJAC0001,23034,2001,2,10.8,29.6,17.6,78,80.6,39.4,63.8,96.6,64,40.4,12,534.8
IDCJAC0001,23034,2002,16.2,0.4,10.2,7.6,65,45,70.6,21.4,29.6,15.8,35.2,6,323
IDCJAC0001,23034,2003,23.4,59.4,7.2,19,66.4,100.8,27.8,55.2,30.2,44.6,7.2,15.6,456.8
IDCJAC0001,23034,2004,9.6,4,21.4,16,43,83.3,52.6,67.2,46.8,8.2,35.6,38.6,426.3
IDCJAC0001,23034,2005,19.4,12.2,17.2,4,5.2,94.2,31.2,60,63.2,85.2,51.2,30.4,473.4
IDCJAC0001,23034,2006,20.8,25.8,13.4,34.2,30,11.6,24,8.6,26,0.6,20.2,19.4,234.6
IDCJAC0001,23034,2007,38,1,18.8,75,35.4,42,47.2,16.8,20.6,23.2,32.6,36,386.6
IDCJAC0001,23034,2008,10.8,2.8,11.6,29,43.4,24.4,39,71.2,12.2,3,13.2,31.4,292
