Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9021,1976,23.8,34.7,0.8,76.2,69.8,87.6,102.8,145.1,72.2,46.2,55,7.8,722
IDCJAC0001,9021,1977,5,10.8,6.2,1.2,110.8,86,84.8,193.2,29.8,75.2,11.5,0.6,615.1
IDCJAC0001,9021,1978,3.4,32.2,16.4,18.2,123.4,195.4,235.8,23.2,101,42.4,19.8,11.7,822.9
IDCJAC0001,9021,1979,0.2,12.2,20.2,40.5,67.6,145.2,76.4,89.3,37.4,24.2,51.2,4.6,569
IDCJAC0001,9021,1980,0.6,13.8,1.8,76.6,86.7,135.6,157.4,108.2,58.2,36,11.6,13.6,700.1
IDCJAC0001,9021,1981,1,11.8,6.4,32.2,160.2,159.2,152.6,131.8,57.6,34.8,35.2,8.6,791.4
IDCJAC0001,9021,1982,72.6,6.6,16.6,0,55.8,168.6,152.6,74,84.4,26.2,2.4,5,664.8
IDCJAC0001,9021,1983,1.2,21.6,3.8,15.8,23.4,232.2,113.8,138,100.4,8.6,45,16.8,720.6
IDCJAC0001,9021,1984,0.8,3.6,29.2,59.6,143.4,114.4,82.2,112.4,102.8,25.8,61.2,12.8,748.2
IDCJAC0001,9021,1985,1,1.8,4.6,46.8,74.6,82.2,154.2,145,54.2,22.6,25,8.2,620.2
IDCJAC0001,9021,1986,2.4,93,28.8,1.4,152.2,193,198.4,119.2,52,40.8,19.6,0.2,901
IDCJAC0001,9021,1987,1.6,0,15.4,58.8,80.2,195.2,189.8,84.2,42.2,22.4,30.6,23,743.4
IDCJAC0001,9021,1988,0.2,0,11.8,89.4,125,229.4,158.4,92.2,110.8,52,33.8,11.4,914.4
IDCJAC0001,9021,1989,15.2,30.2,0.4,44.8,116.4,66.4,154.6,82.4,67,81,8,7.6,674
IDCJAC0001,9021,1990,62.6,19.8,58.8,67.6,59.4,76.8,138.4,88,56.2,48.8,21.6,6.8,704.8
IDCJAC0001,9021,1991,0,16.4,2.8,58.6,106.8,246.6,160.2,95.6,83.2,36.8,66.4,30.4,903.8
IDCJAC0001,9021,1992,4,150.4,31.8,16.8,65,226.4,113,193.2,57.4,23.6,75.8,2.6,960
IDCJAC0001,9021,1993,0.8,35.4,5.6,14.4,114.4,81.8,134.2,149.2,91.8,31.2,6.4,0.8,666
IDCJAC0001,9021,1994,0,0.2,2,3.4,86.4,150,153.2,131.4,66,10.8,5.4,0.2,609
IDCJAC0001,9021,1995,0,20.6,15.4,10.6,138.6,122.8,217.6,76,55.4,87.2,46.6,2.4,793.2
IDCJAC0001,9021,1996,1.8,0.4,4.8,16.6,50,232,217.6,117.8,133.6,53.2,44.6,16.8,889.2
IDCJAC0001,9021,1997,0.8,8,29.8,28.2,78.8,110.4,125,128.2,105.6,31.6,6.6,0,653
IDCJAC0001,9021,1998,2.6,0,29.8,12.4,78.8,128.4,103,155.6,114.4,36.4,13.2,9.6,684.2
IDCJAC0001,9021,1999,45.6,0.6,27.4,13.8,111.4,137.8,116,156.6,91.8,78.8,4.8,8.4,793
IDCJAC0001,9021,2000,102.4,0.2,30,41,20.8,95.4,216.8,130,45.4,5.4,19,0.6,707
IDCJAC0001,9021,2001,0.8,1.8,2.6,5,99,56.2,183.8,120.8,98,27,22.2,5.8,623
IDCJAC0001,9021,2002,10.2,1,4,76.4,65.6,138.2,134.4,79.2,75,38.4,23.6,2.2,648.2
IDCJAC0001,9021,2003,0.6,19.6,60.4,44.8,84.4,158.2,154.4,121,95.4,22.2,46.4,2.8,810.2
IDCJAC0001,9021,2004,0,9.2,0.4,6,118,110,101.6,149.6,29.2,41,41,3.2,609.2
IDCJAC0001,9021,2005,1,2.8,52.8,20.8,153.2,250.2,63.4,119.2,84.8,50.6,15.4,5.8,820
IDCJAC0001,9021,2006,28.2,24,5.8,32.4,43.6,27.8,80.2,124.6,65.6,24.4,19.2,3.8,479.6
IDCJAC0001,9021,2007,20.2,2.8,5.4,70.6,68.6,53.4,193.4,113,97.2,46.6,5.2,16.2,692.6
IDCJAC0001,9021,2008,0,39.6,16.2,135,59.8,170,213.6,19,66.8,33.8,69,5.4,828.2
IDCJAC0001,9021,2009,12.6,5.4,6,6.8,49.6,131.4,145.4,129,93.2,4,32.4,0,615.8
IDCJAC0001,9021,2010,0,0,43.2,23.2,88.6,47.2,144.6,60,27.8,25.2,7.6,16,483.4
IDCJAC0001,9021,2011,43.2,0.4,0,26.2,58.6,143.2,164.6,127.8,102.4,63.4,38.6,67.4,835.8
IDCJAC0001,9021,2012,27.4,19,0,53.2,39.8,134.4,30.6,117.8,103.8,13.8,84.8,24.8,649.4
IDCJAC0001,9021,2013,8.2,1,60.2,7.8,112.2,23,119.2,160.6,172.4,32.4,6.2,0.8,704
IDCJAC0001,9021,2014,0.4,0,4.4,18.6,125.2,92.2,139.2,109.6,70.2,34.2,26.6,0.2,620.8
IDCJAC0001,9021,2015,0.4,28.4,22,56,68.8,100.2,98.8,102.8,46.8,19.2,17.4,17.4,578.2
IDCJAC0001,9021,2016,23.4,0.8,21.4,61.6,106,86.4,129.4,131.6,61.8,37.8,5.6,8.6,674.4
IDCJAC0001,9021,2017,39.8,89.8,19.8,0,57,54.8,181.8,149.2,81.2,26,1.8,28.2,729.4
IDCJAC0001,9021,2018,92,0.4,1.4,10.8,72,129,180.6,176.8,39,36.2,4.8,0.8,743.8
IDCJAC0001,9021,2019,5.8,0.8,4.8,35.2,12.4,175,101,117.2,31.8,23.4,22.4,2.2,532
IDCJAC0001,9021,2020,1.4,20.2,28,15.2,109.8,104.2,71.2,99.4,81,13.2,88.8,3.8,636.2
IDCJAC0001,9021,2021,0,28.6,32.6,34.2,116,103.2,262.8,51.2,64.2,97.6,6,2.6,799
IDCJAC0001,9021,2022,0,1.8,4.8,58.4,76.6,68.4,124.2,172.6,101.4,31.6,27.8,1,668.6
IDCJAC0001,9021,2023,0,0,42.6,39.4,29.4,199.2,122.8,49.8,58.2,6.4,6.2,0,554
IDCJAC0001,9021,2024,0.8,2.8,1.4,0,73.4,136.6,138.2,152,48.8,50,12.8,2.6,619.4
IDCJAC0001,9021,2025,3.6,0.2,27.6,7.2,58.6,159,174,202.4,97.2,53.6,8.2,17,808.6
