Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066052,1888,16.2,83.6,40.4,5.3,17.6,27.0,40.5,73.9,39.4,27.7,90.0,157.9,619.5
IDCJAC0001,066052,1889,46.3,32.5,37.9,128.1,379.4,23.7,269.6,129.0,null,null,null,null,null
IDCJAC0001,066052,1890,null,null,null,null,null,null,71.3,39.9,51.9,42.8,91.7,45.5,null
IDCJAC0001,066052,1891,99.9,54.3,288.2,127.9,86.6,338.5,109.3,120.1,125.8,41.7,69.8,36.2,1498.3
IDCJAC0001,066052,1892,117.8,85.9,442.7,90.5,92.8,43.7,123.3,120.0,98.8,116.1,49.9,148.8,1530.3
IDCJAC0001,066052,1893,85.6,70.5,212.0,132.5,33.2,150.7,134.4,63.5,30.7,92.0,107.3,37.0,1149.4
IDCJAC0001,066052,1894,26.6,137.5,270.2,76.2,39.7,48.9,61.5,23.1,227.7,70.2,8.4,80.3,1070.3
IDCJAC0001,066052,1895,190.3,278.3,20.6,63.0,53.3,40.2,13.7,26.4,84.2,11.3,46.7,88.4,916.4
IDCJAC0001,066052,1896,35.5,95.0,116.3,1.5,119.4,408.1,90.3,58.5,10.2,44.0,113.2,39.2,1131.2
IDCJAC0001,066052,1897,51.0,17.1,103.1,188.0,44.9,205.3,130.5,147.4,20.2,30.3,14.5,119.6,1071.9
IDCJAC0001,066052,1898,147.0,99.5,36.6,19.2,325.9,167.4,94.3,109.9,32.6,76.2,3.3,33.5,1145.4
IDCJAC0001,066052,1899,41.0,19.7,22.4,72.4,153.7,298.7,111.4,411.4,45.9,97.5,138.6,19.3,1432.0
IDCJAC0001,066052,1900,39.8,10.4,198.9,146.4,394.4,281.0,339.9,19.6,77.6,14.5,204.2,75.9,1802.6
IDCJAC0001,066052,1901,90.2,44.7,117.1,328.4,50.1,29.5,75.6,105.5,92.2,42.7,29.2,9.1,1014.3
IDCJAC0001,066052,1902,55.4,8.9,61.3,61.0,50.8,25.7,382.8,133.3,67.9,323.0,71.7,41.7,1283.5
IDCJAC0001,066052,1903,37.7,25.4,80.4,43.7,132.8,35.4,165.0,147.4,110.2,100.3,55.1,90.4,1023.8
IDCJAC0001,066052,1904,52.7,83.8,146.1,397.1,198.4,2.1,265.4,50.5,28.1,55.7,4.4,14.0,1298.3
IDCJAC0001,066052,1905,36.6,83.2,303.2,95.1,191.0,43.0,13.5,16.3,71.6,84.1,27.7,44.5,1009.8
IDCJAC0001,066052,1906,52.4,9.6,123.7,33.9,242.0,48.1,6.3,114.5,37.4,38.7,122.2,26.5,855.3
IDCJAC0001,066052,1907,75.7,54.2,222.0,37.6,46.3,290.4,12.2,5.3,6.4,10.7,53.2,14.5,828.5
IDCJAC0001,066052,1908,31.8,150.4,44.9,94.9,84.7,27.8,314.7,284.2,88.3,35.5,8.1,21.6,1186.9
IDCJAC0001,066052,1909,41.4,166.5,51.5,25.9,30.2,104.7,40.6,46.1,147.7,41.3,93.8,69.8,859.5
IDCJAC0001,066052,1910,114.6,16.9,148.3,83.5,66.6,78.1,236.5,16.0,28.4,57.2,3.8,255.8,1105.7
IDCJAC0001,066052,1911,309.9,123.7,55.7,78.5,31.3,1.0,155.6,205.8,52.6,10.4,26.7,72.2,1123.4
IDCJAC0001,066052,1912,36.6,174.1,198.5,133.4,46.8,58.7,266.3,39.3,8.3,23.0,156.6,34.3,1175.9
IDCJAC0001,066052,1913,9.1,15.5,106.2,162.6,140.0,188.2,135.6,2.5,35.1,29.2,6.6,3.3,833.9
IDCJAC0001,066052,1914,9.9,28.7,244.5,43.1,83.4,186.2,296.8,71.3,164.1,149.0,54.4,186.5,1517.9
IDCJAC0001,066052,1934,99.6,314.2,55.1,327.6,164.5,116.2,186.6,208.3,220.4,59.6,118.6,104.6,1975.3
IDCJAC0001,066052,1935,74.4,97.8,76.4,31.0,132.0,158.5,51.5,7.4,83.0,101.2,41.4,156.8,1011.4
IDCJAC0001,066052,1936,102.3,128.6,102.8,44.2,66.4,89.8,21.9,43.5,48.3,26.7,7.4,108.2,790.1
IDCJAC0001,066052,1937,56.8,44.4,245.6,162.7,24.6,427.2,102.4,128.4,12.6,95.8,142.1,50.6,1493.2
IDCJAC0001,066052,1938,304.6,93.2,40.5,91.6,87.2,10.7,96.3,232.5,81.2,84.8,29.9,10.4,1162.9
IDCJAC0001,066052,1939,94.5,2.8,237.9,110.7,147.7,16.0,42.9,64.0,78.3,71.5,50.4,13.0,929.7
IDCJAC0001,066052,1940,19.6,25.8,21.9,201.3,191.9,64.2,87.7,50.9,84.2,63.4,92.0,230.1,1133.0
IDCJAC0001,066052,1941,125.1,67.0,62.9,98.1,44.5,57.6,64.8,96.8,59.6,55.1,49.3,16.3,797.1
IDCJAC0001,066052,1942,10.9,49.6,467.1,15.6,48.2,162.3,51.2,29.2,20.1,86.6,86.1,75.5,1102.4
IDCJAC0001,066052,1943,50.3,9.7,11.7,28.9,306.7,35.9,8.0,144.7,96.8,31.7,142.9,50.0,917.3
IDCJAC0001,066052,1944,64.0,62.7,81.3,47.3,71.5,42.6,57.3,80.9,22.3,19.2,24.6,17.1,590.8
IDCJAC0001,066052,1945,105.2,45.5,25.5,278.0,142.3,147.3,65.0,49.1,6.4,28.5,52.7,35.1,980.6
IDCJAC0001,066052,1946,12.8,47.3,93.5,156.7,49.0,112.9,2.5,1.6,25.7,66.3,109.4,18.6,696.3
IDCJAC0001,066052,1947,56.1,103.9,61.3,182.0,106.5,43.4,14.3,49.1,19.4,38.3,81.0,177.1,932.4
IDCJAC0001,066052,1948,193.7,43.0,132.8,44.4,170.4,181.5,30.7,5.5,45.8,43.5,24.5,58.3,974.1
IDCJAC0001,066052,1949,186.5,144.2,99.0,23.3,95.6,268.8,36.4,113.1,204.8,32.8,72.3,46.5,1323.3
IDCJAC0001,066052,1950,142.6,112.9,118.4,151.1,135.1,418.9,291.3,58.6,87.5,111.0,105.8,17.6,1750.8
IDCJAC0001,066052,1951,184.7,63.0,107.7,28.6,155.5,252.1,26.8,79.3,37.0,38.4,12.9,19.3,1005.3
IDCJAC0001,066052,1952,30.6,37.5,95.8,287.1,47.0,133.9,146.2,191.8,14.3,184.8,82.7,35.9,1287.6
IDCJAC0001,066052,1953,69.3,110.8,86.8,19.7,219.0,46.1,65.7,41.5,26.0,61.1,35.1,9.7,790.8
IDCJAC0001,066052,1954,67.2,186.4,5.9,13.2,43.4,11.0,92.1,27.6,50.3,149.7,75.5,78.0,800.3
IDCJAC0001,066052,1955,158.9,209.3,154.6,115.4,239.3,129.8,69.1,8.7,24.0,38.2,189.7,216.5,1553.5
IDCJAC0001,066052,1956,81.0,549.9,250.8,66.3,142.2,205.7,47.6,70.1,33.1,58.2,5.7,22.7,1533.3
IDCJAC0001,066052,1957,57.1,76.7,125.4,26.7,4.6,25.2,161.0,163.9,20.3,10.2,33.0,40.4,744.5
IDCJAC0001,066052,1958,97.9,318.9,228.2,65.3,10.1,199.3,25.0,76.2,44.1,43.1,3.5,144.7,1256.3
IDCJAC0001,066052,1959,150.3,166.5,139.6,75.0,75.7,117.0,191.9,102.7,52.1,456.3,69.5,37.6,1634.2
IDCJAC0001,066052,1960,55.3,82.2,50.5,25.4,108.3,90.4,95.6,61.3,52.8,268.9,78.5,242.0,1211.2
IDCJAC0001,066052,1961,55.6,107.0,45.5,105.7,32.8,37.1,60.4,188.1,55.2,55.1,500.6,123.1,1366.2
IDCJAC0001,066052,1962,114.7,125.2,47.3,79.2,263.0,2.8,62.2,122.7,79.2,28.9,18.0,173.6,1116.8
IDCJAC0001,066052,1963,136.1,60.8,363.8,289.8,241.7,297.8,78.0,305.2,20.5,68.6,36.4,224.7,2123.4
IDCJAC0001,066052,1964,12.5,24.6,133.3,164.7,56.9,348.5,10.9,29.4,19.1,85.6,73.7,32.8,992.0
IDCJAC0001,066052,1965,18.4,23.7,7.6,107.8,76.0,233.5,82.2,19.2,120.1,173.9,43.0,61.7,967.1
IDCJAC0001,066052,1966,21.3,161.3,156.0,275.5,80.0,135.8,16.6,106.9,65.1,52.6,165.6,86.0,1322.7
IDCJAC0001,066052,1967,163.7,161.9,107.3,32.5,53.1,262.1,26.4,213.2,93.2,67.6,88.1,44.3,1313.4
IDCJAC0001,066052,1968,125.0,8.6,105.8,14.0,104.3,31.0,71.6,21.2,4.6,10.7,20.4,78.1,595.3
IDCJAC0001,066052,1969,37.8,235.3,96.8,146.8,44.4,244.1,46.6,165.9,75.3,55.9,273.9,47.6,1470.4
IDCJAC0001,066052,1970,174.6,73.4,137.8,54.3,11.4,38.7,1.3,41.9,135.8,26.7,120.5,259.3,1075.7
IDCJAC0001,066052,1971,157.4,160.9,57.5,68.8,108.4,62.0,23.0,90.3,69.8,6.7,77.0,144.4,1026.2
IDCJAC0001,066052,1972,389.0,74.6,169.5,82.3,97.0,116.8,7.1,37.9,12.2,137.6,77.9,30.0,1231.9
IDCJAC0001,066052,1973,256.3,297.7,129.9,76.6,33.6,84.1,124.8,99.1,94.2,167.9,124.2,37.0,1525.4
IDCJAC0001,066052,1974,243.8,97.6,316.8,223.0,240.8,262.7,20.6,248.0,59.8,62.0,91.8,52.8,1919.7
IDCJAC0001,066052,1975,29.2,121.3,442.9,71.4,50.8,350.7,43.2,24.2,46.8,120.3,37.2,10.6,1348.6
IDCJAC0001,066052,1976,275.6,322.0,268.4,29.6,26.6,118.6,157.5,42.6,179.0,259.2,92.6,8.8,1780.5
IDCJAC0001,066052,1977,126.0,172.0,223.8,30.0,118.2,106.8,16.0,13.2,71.4,12.6,26.6,35.0,951.6
IDCJAC0001,066052,1978,239.6,4.3,289.2,120.2,129.0,278.8,25.6,40.4,113.2,97.8,89.0,92.2,1519.3
IDCJAC0001,066052,1979,125.6,27.6,209.4,22.0,79.9,147.6,31.4,8.8,23.4,44.1,74.0,3.2,797.0
IDCJAC0001,066052,1980,102.0,98.2,65.0,31.7,153.9,80.1,46.0,16.2,2.2,40.0,39.8,31.8,706.9
IDCJAC0001,066052,1981,73.6,182.2,66.5,126.7,127.2,59.6,49.7,6.1,4.8,182.0,159.2,79.5,1117.1
IDCJAC0001,066052,1982,34.6,19.0,160.7,20.9,65.0,147.1,166.5,25.8,171.3,42.0,13.0,20.4,886.3
IDCJAC0001,066052,1983,38.0,39.8,310.3,187.8,199.2,83.7,40.2,95.8,38.5,128.6,32.0,106.3,1300.2
IDCJAC0001,066052,1984,197.0,82.8,190.9,79.4,160.2,24.7,150.4,8.6,47.0,53.8,349.0,96.7,1440.5
IDCJAC0001,066052,1985,4.4,62.0,73.6,332.4,144.9,134.2,103.8,32.8,109.4,134.2,89.2,106.8,1327.7
IDCJAC0001,066052,1986,223.3,77.4,20.0,142.6,84.6,8.6,24.6,434.7,24.8,68.2,128.6,14.0,1251.4
IDCJAC0001,066052,1987,102.7,44.6,123.3,58.6,58.6,93.0,164.8,185.0,10.4,240.0,170.6,67.0,1318.6
